,id,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
268,88,81,81,2024-04-12,,MIL,W,125,107,47,89,.528,13,38,.342,18,20,.900,8,38,29,13,5,10,12,42,85,.494,11,30,.367,12,13,.923,8,42,27,7,3,17,15,2024,OKC
269,89,82,82,2024-04-14,,DAL,W,135,86,54,97,.557,14,34,.412,13,16,.813,11,58,38,6,6,14,17,32,97,.330,8,39,.205,14,17,.824,12,41,19,8,2,14,15,2024,OKC
270,0,1,1,2023-10-26,,PHI,W,118,117,41,81,.506,11,30,.367,25,36,.694,8,43,20,9,4,14,23,41,80,.513,16,35,.457,19,28,.679,4,39,25,8,4,15,28,2024,MIL
271,1,2,2,2023-10-29,,ATL,L,110,127,39,86,.453,16,44,.364,16,20,.800,12,39,22,10,3,23,22,47,93,.505,15,37,.405,18,22,.818,13,46,32,15,2,17,17,2024,MIL
272,2,3,3,2023-10-30,,MIA,W,122,114,44,87,.506,12,37,.324,22,30,.733,9,43,24,8,5,14,23,41,86,.477,13,34,.382,19,20,.950,7,40,27,7,2,14,20,2024,MIL
273,3,4,4,2023-11-01,@,TOR,L,111,130,35,76,.461,13,34,.382,28,38,.737,7,29,19,9,2,12,17,51,91,.560,15,38,.395,13,14,.929,15,50,35,7,6,16,25,2024,MIL
274,4,5,5,2023-11-03,,NYK,W,110,105,35,82,.427,20,39,.513,20,28,.714,7,41,24,6,11,14,16,38,96,.396,10,39,.256,19,25,.760,16,56,18,6,1,10,22,2024,MIL
275,5,6,6,2023-11-06,@,BRK,W,129,125,46,96,.479,16,48,.333,21,24,.875,12,48,26,6,2,10,13,49,101,.485,16,45,.356,11,13,.846,11,46,22,2,4,8,16,2024,MIL
276,6,7,7,2023-11-08,,DET,W,120,118,41,90,.456,11,37,.297,27,32,.844,5,36,19,8,7,10,18,48,98,.490,7,29,.241,15,16,.938,11,53,28,2,5,17,24,2024,MIL
277,7,8,8,2023-11-09,@,IND,L,124,126,46,87,.529,9,27,.333,23,26,.885,5,41,23,6,5,14,19,44,92,.478,20,48,.417,18,20,.900,9,40,27,6,6,11,25,2024,MIL
278,8,9,9,2023-11-11,@,ORL,L,97,112,38,77,.494,9,29,.310,12,25,.480,5,36,25,9,6,19,24,36,84,.429,10,26,.385,30,35,.857,15,43,24,9,2,13,17,2024,MIL
279,9,10,10,2023-11-13,,CHI,W,118,109,42,89,.472,15,47,.319,19,27,.704,13,53,23,3,5,15,23,38,100,.380,14,42,.333,19,21,.905,18,47,24,9,7,6,25,2024,MIL
